2026-08-31T00:00:02Z | APPROVED | send_outreach | outreach_id=1 (Faller's Furniture) | owner said "ban do"
2026-08-31T00:00:03Z | APPROVED | send_outreach | outreach_id=8 (Zebulon Hardware) | owner said "ban do"
2026-08-31T16:28:00.408480 | REQUESTED | send_outreach | 9 | Outreach for Hendrixson's Furniture
2026-08-31T16:28:00.840247 | REQUESTED | send_outreach | 10 | Outreach for Furniture Direct FL
2026-08-31T16:28:01.273439 | REQUESTED | send_outreach | 11 | Outreach for B & W Hardware Co.
2026-08-31T16:28:01.492475 | REQUESTED | send_outreach | 12 | Outreach for Town Hardware General Store
2026-08-31T16:28:03.969310 | REQUESTED | send_outreach | 13 | Outreach for HomeTown Solutions
2026-08-31T16:28:04.166553 | REQUESTED | send_outreach | 14 | Outreach for Little Fawn Hardware
2026-09-01T08:18:05.845010 | REQUESTED | send_outreach | 15 | Outreach for Hendrixson's Furniture
2026-09-01T08:18:06.375442 | REQUESTED | send_outreach | 16 | Outreach for Furniture Direct FL
2026-09-01T08:18:11.954444 | REQUESTED | send_outreach | 17 | Outreach for HomeTown Solutions
2026-09-01T08:18:12.240126 | REQUESTED | send_outreach | 18 | Outreach for Little Fawn Hardware
